PlayerClassDatafile
{
	// FilePLayerClassInfo_t members
	"printname"			"#class_soldier"	
	"playermodel"			"models/player/soldier.mdl"
	"selectcmd"			"cls_soldier"

	// CSDKPlayerClassInfo members

	// What team has this class, for verification
	//"team"			  "BLUE"
        //"team"                          "RED"

	// Weapon Info
	"primaryweapon"		"rpg"
	"secondaryweapon"	"12gauge"
	"meleeweapon"		"crowbar"
	"weapon1"			"shotgun"
	"weapon2"			""
	"weapon3"			""
	"weapon4"			""
	"weapon5"			""
	"weapon6"			""
	"weapon7"			""
	"weapon8"			""
	"weapon9"			""
	"weapon10"			""

	"grenadetype"		"grenade"
	"numgrens"		"0"

	"limitcvar"		"mp_limit_blue_class2"

	"classimage"		"cls_blue_class2_active"
	"classimagebg"		"cls_blue_class2_active_bg"

	"armor"			"200"

	// Movement
	"RunSpeed"		"180"
	"SprintSpeed"		"330"
	"ProneSpeed"		"60"
}
